longname,glot_fam,81A,82A,83A,87A,88A,89A,92A,93A,nValues,97A,112A,116A,143A,143E,143F,143G,144A,144B,144D,144H,144I,144J,144K,26A,33A,37A,38A,51A,57A,69A,85A,86A,90A,90C,95A,96A,101A,144L,144P,144Q,144R,144S,70A,71A,132A,133A,134A,135A,14A,15A,16A,17A,142A,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,18A,19A,20A,21A,21B,28A,29A,35A,39A,40A,44A,48A,49A,50A,65A,66A,67A,68A,77A,78A,84A,91A,94A,98A,99A,100A,102A,103A,104A,107A,111A,113A,114A,121A,129A,130A,13A,22A,23A,24A,25A,25B,27A,30A,31A,32A,34A,36A,41A,42A,46A,47A,52A,53A,54A,55A,58A,58B,59A,60A,61A,62A,63A,64A,72A,73A,74A,75A,76A,79A,79B,80A,90B,105A,106A,108A,108B,109A,109B,110A,115A,117A,118A,119A,120A,122A,123A,124A,125A,126A,127A,128A,131A,136A,136B,137A,137B,144M,138A,39B,45A,56A,143B,144F,144E,139A,140A,143C,144O,144G,43A,144C,144T,144V,144W,144X,81B,10B,130B,144N,144U,90D,144Y,90E,141A,90F,143D,90G
Aik.AIKANA.AIKANA,Aikana,,,,,,,,,-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,1,1,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_ASAHIKAWA,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_BIHORO,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_HIRATORI,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_HOROBETSU,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_KUSHIRO,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_MAOKA,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_NAIRO,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_NAYORO,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_NIIKAPPU,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_NUKKIBETSU,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_OBIHIRO,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_OCHIHO,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_OSHAMAMBE,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_RAICHISHKA,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_SAMANI,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_SARU,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_SHIRAURA,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_SOYA,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_TARANTOMARI,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ain.AINU.AINU_YAKUMO,Ainu,1,1,1,1,1,1,2,2,-95,1,2,1,1,1,,,,,,,,,,,2,,,,1,2,1,1,2,,1,1,2,,,,1,,,2,,,,,,,,,,1,2,2,1,1,1,1,1,,2,1,2,1,1,,,,1,,,,,,,,2,2,,2,,,2,,,2,1,1,,,,2,1,2,1,,,1,,2,,,1,,2,2,1,1,1,,1,2,2,1,,2,1,,2,2,1,1,,,,1,2,,2,2,,2,,,,1,,2,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
AuA.PALAUNG_KHMUIC.AISHUO_WA,Austroasiatic,,,,,,,,,-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.KRU.AIZI,Atlantic-Congo,,,,,,,,,-178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,1,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSu.KRESH.AJA,Kresh-Aja,2,1,2,1,,,,,-173,,,,2,,1,,,,,,,,1,,,,,,,1,2,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.KWA.AJAGBE,Atlantic-Congo,,1,,2,2,2,2,,-169,,2,1,,1,1,,,,,,,,,,,,,,2,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
An.OCEANIC.AJIE,Austronesian,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jap.JAPANESE.AKAJIMA_OKINAWAN,Japonic,,1,1,,,,,2,-178,,,2,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN.CENTRAL_PAMA_NYUNGAN.AKARA,Pama-Nyungan,1,1,1,2,2,2,,,-124,2,1,1,,,2,,,,,,,,,2,,1,,,2,2,1,,1,1,1,2,1,,,,,2,,,,,,,,,,,,,1,,1,1,1,1,2,,,1,2,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,,2,2,2,2,1,,,,,,,1,2,,,,,,2,1,2,,,,1,,,,,,,,,,,,,,,,,,,1,2,2,2,,,1,,,,,,1,1,1,1,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
Car.CARIBAN.AKAWAIO,Cariban,,,,,,,,,-173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,1,1,1,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car.CARIBAN.AKAWAIO_2,Cariban,,,,,,,,,-173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,1,1,1,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA.GREAT_ANDAMANESE.AKA_BEA,Great_Andamanese,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA.GREAT_ANDAMANESE.AKA_CARI,Great_Andamanese,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA.GREAT_ANDAMANESE.AKA_KEDE,Great_Andamanese,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST.BURMESE_LOLO.AKHA,Sino-Tibetan,1,1,1,2,2,2,2,2,-160,2,,1,1,1,,,,,,,,,,1,,,,,,,1,1,2,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDa.AVAR_ANDIC_TSEZIC.AKHVAKH,Nakh-Daghestanian,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDa.NAKH.AKKIN_CHECHEN,Nakh-Daghestanian,1,1,1,1,1,1,,2,-146,1,2,2,1,1,,,,,,,,,,2,2,,,1,,2,1,1,2,,1,1,1,,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,,1,,,,,,,1,,1,2,1,,,,,2,2,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.GREATER_CENTRAL_PHILIPPINE.AKLANON,Austronesian,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mus.MUSKOGEAN.ALABAMA,Muskogean,,,,,,,,,-163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,1,1,1,,,,1,,1,1,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,2,2,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.SOUTHERN_CUSHITIC.ALAGWA,Afro-Asiatic,,,,,,,,,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep.SEPIK_HILL.ALAMBLAK,Sepik,1,1,1,1,1,1,,2,-102,1,2,,1,1,,,,,,,,,,2,,1,,,,2,1,1,2,,1,1,2,,,,1,,1,,,,,,1,,,,,2,,2,2,2,1,1,1,,2,1,,1,1,1,,1,1,,,,,,2,,2,1,2,1,,1,1,,2,,1,,2,,2,2,2,,,2,,,,1,,1,2,,2,1,2,2,2,,,2,1,,1,2,,,1,2,1,1,,,,1,2,1,2,,,,1,,1,1,,,,,1,,,,,,1,1,,,,,,,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM.ALAWA.ALAWA,Mangarrayi-Maran,,,,,1,,,,-153,,2,,1,1,,,,,,,,,,2,1,,,1,2,2,2,,,,,,,,,,,,2,,,,,,,,1,,,,1,,1,1,1,1,2,,,1,,,1,,,,,,,,,,,,,1,1,1,,1,1,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNG.EASTERN_HIGHLANDS.ALEKANO,Nuclear_Trans_New_Guinea,1,1,1,,,2,,,-169,,1,2,,,2,,,,,,,,,2,2,,,1,,2,,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA.ALEUT.ALEUT,Eskimo-Aleut,1,1,1,,,,,,-165,,,,,,,,,,,,,,,2,2,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Alg.ALGONQUIAN.ALGONQUIN,Algic,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.ALINGA,Atlantic-Congo,1,1,1,2,1,2,2,2,-158,2,2,1,1,1,,,,2,,,,,,,1,,,,,2,,2,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.KWA.ALLADIAN,Atlantic-Congo,,,,,,,,,-176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE.GERMANIC.ALSATIAN,Indo-European,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC.ALSEA.ALSEA,Alsea,,2,2,1,1,1,,,-174,,,,1,1,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Alt.TURKIC.ALTAI,Turkic,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.CENTRAL_MALAYO_POLYNESIAN.ALUNE,Austronesian,2,1,2,2,2,2,,,-168,,2,1,2,,1,,,,,,,,1,,2,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
